ticker,valid_days,mean_score,median_score,top_decile_days,top_decile_rate,mean_return_12_1,median_return_12_1
KHC,2387,0.30791402113946753,0.2453987730061349,7,0.002932551319648094,-0.028790954210399358,-0.0177063343970268
KIM,3771,0.4437759949847604,0.4566744730679157,125,0.03314770617873243,0.0988200092804893,0.0773607196619678
KKR,3638,0.5813508338566336,0.6496815286624203,497,0.1366135239142386,0.24609617929435734,0.21489326956340732
KLAC,3771,0.6607334449517073,0.7075268817204301,618,0.16388225934765313,0.2911517385296729,0.2511084657978484
KMB,3771,0.4309598756583749,0.4151785714285714,64,0.016971625563511006,0.08824004952521326,0.0792947626120486
KMI,3491,0.42910242747923505,0.4320486815415821,181,0.05184760813520481,0.07945960622454096,0.1017074859843905
KO,3771,0.4215343516435791,0.3826638477801268,0,0.0,0.09164142105717171,0.0904618923479021
KR,3771,0.5180304982316478,0.5246913580246914,526,0.13948554760010606,0.16451262135587427,0.148031658173025
KVUE,415,0.3447883246726694,0.3326612903225806,0,0.0,0.02009327832694777,0.0776763722529794
L,3771,0.3889929255272093,0.3681917211328976,0,0.0,0.07777843909935744,0.0875589976861823
LDOS,3771,0.5024913085258348,0.5285412262156448,421,0.11164147440997083,0.15835166158313294,0.117076658796196
LEN,3771,0.5028346255734593,0.4810924369747899,492,0.13046937151949084,0.1882072144516961,0.155300469952401
LH,3771,0.42335883322658324,0.4369918699186992,0,0.0,0.10160124866320928,0.0977752427251386
LHX,3771,0.5108430442718398,0.5112612612612613,134,0.03553434102360117,0.14795239521786782,0.1405534294948605
LII,3771,0.5825042313434765,0.6321353065539113,556,0.14744099708300185,0.21830321498938568,0.2175803824273368
LIN,3771,0.4877721498939269,0.5118279569892473,0,0.0,0.13761259489237898,0.1388794450278099
LITE,2374,0.5204071649671905,0.5111129027923351,671,0.2826453243470935,0.25300516948820995,0.11199488444468005
LLY,3771,0.6114708595487643,0.6740088105726872,851,0.2256695836648104,0.26315966357599746,0.2265561086379488
LMT,3771,0.5432124331698857,0.5808510638297872,242,0.06417395916202599,0.16281719117471338,0.1510053986455575
LNT,3771,0.4808988130342743,0.4576612903225806,75,0.01988862370723946,0.12462581731844206,0.1335086634624003
LOW,3771,0.555023375201056,0.5483870967741935,243,0.06443914081145585,0.19272398148585748,0.1558671677833039
LRCX,3771,0.5935170762278853,0.6907894736842105,1099,0.2914346327234155,0.28618809516902005,0.278243601783416
LULU,3771,0.5276504018750473,0.5334685598377282,1144,0.3033678069477592,0.25479626078643963,0.1664809229715524
LUV,3771,0.4146421553122441,0.3361344537815126,520,0.13789445770352693,0.1256929854544628,0.046162198236396
LVS,3771,0.42898461828164447,0.3363844393592677,375,0.09944311853619729,0.11268472778676332,0.0442931208763144
LYB,3692,0.48484873824802666,0.47476869535693056,464,0.1256771397616468,0.1614049404614665,0.09330871010288805
LYV,3771,0.5590825850402916,0.6278118609406953,624,0.1654733492442323,0.2183168160874985,0.1976472915099258
MA,3771,0.6300578102449504,0.6629711751662971,409,0.10845929461681252,0.23585255637576774,0.2294591356774007
MAA,3771,0.45139678419561413,0.4265010351966873,246,0.06523468575974542,0.11754172091868828,0.0842627614179081
MAR,3771,0.5385995354219492,0.5630252100840336,355,0.09413948554760011,0.18159396756861973,0.1679884598464034
MAS,3771,0.5057932344609605,0.488659793814433,380,0.1007690267833466,0.15955109637860185,0.1424982215918153
MCD,3771,0.47469746889861797,0.4448979591836735,219,0.05807478122513922,0.12890237577975244,0.1087026645674382
MCHP,3771,0.4944386354173597,0.5072164948453608,189,0.050119331742243436,0.14226670330198016,0.1166655618483931
MCK,3771,0.5362951661533276,0.5685483870967742,444,0.1177406523468576,0.1916983298668442,0.2003499432164872
MCO,3771,0.623319179315677,0.6450304259634888,338,0.0896313975072925,0.2333624530962166,0.2305584489310626
MDLZ,3771,0.44788195307649215,0.4336099585062241,12,0.0031821797931583136,0.10249648677842582,0.0935099588006489
MDT,3771,0.42360993310042766,0.4301552106430155,0,0.0,0.08796288677300218,0.0791812088339987
MET,3771,0.41970717897139265,0.3760504201680672,6,0.0015910898965791568,0.10561716932447014,0.0706153605970107
META,3172,0.6564282584091624,0.7448132780082988,922,0.2906683480453972,0.3577088264231271,0.3052506113338585
MGM,3771,0.42331988193540127,0.3543788187372709,419,0.1111111111111111,0.13157642141251874,0.0299709039164823
MKC,3771,0.4658027286280542,0.4799196787148594,177,0.046937151949085126,0.1139612539913129,0.1099961477624602
MLM,3771,0.5046145520265434,0.4899598393574297,215,0.057014054627419784,0.15845502193702632,0.1366498387749355
MMM,3771,0.4266684416165539,0.4117647058823529,158,0.041898700609917794,0.10248825191057045,0.1142666734709616
MNST,3771,0.5397541945679857,0.5316455696202531,695,0.1843012463537523,0.22183715845418786,0.1456022798842464
MO,3771,0.5029337939799459,0.4969696969696969,207,0.05489260143198091,0.13930032055982725,0.1561783305616375
MOS,3771,0.3254907070320783,0.1403508771929824,459,0.12171837708830549,0.04961469182373574,-0.0686298845849642
MPC,3399,0.5701562147044898,0.6872340425531915,743,0.21859370403059725,0.25438975169251143,0.2676417784888183
MPWR,3771,0.682164909714009,0.7876288659793814,848,0.2248740387165208,0.30270026754240315,0.3282818810765759
MRK,3771,0.44939518713615345,0.4195652173913043,296,0.0784937682312384,0.10454479013286548,0.1043926542166862
MRNA,1523,0.41346361274201837,0.1951219512195122,449,0.2948128693368352,0.7230986552236819,-0.0768820335946112
MRSH,3771,0.563573500749864,0.5797101449275363,12,0.0031821797931583136,0.17216555155766497,0.1688564989015053
MRVL,3771,0.4945642339618455,0.536144578313253,651,0.1726332537788385,0.16650954122047829,0.1369386569028614
MS,3771,0.5077665688650683,0.5189075630252101,432,0.11455847255369929,0.17759438307749123,0.1494976531017557
MSCI,3771,0.5884741503830041,0.6356107660455487,742,0.1967647838769557,0.22410286680462105,0.2121819905113284
MSFT,3771,0.6112374080529951,0.6845637583892618,347,0.09201803235216123,0.22620653423476914,0.2451822886779695
MSI,3771,0.5937557108881728,0.6344086021505376,287,0.07610713338636967,0.20850401461618137,0.1943231102392033
MTB,3771,0.430592313037652,0.3812636165577342,102,0.027048528241845664,0.1033568732769452,0.0943636599868871
MTD,3771,0.5486383339219131,0.5672268907563025,203,0.05383187483426147,0.17861007611879487,0.1597667943963647
MU,3771,0.5234419197798199,0.5436105476673428,1036,0.2747281888093344,0.3087096619951111,0.1633801220499928
NCLH,3005,0.3971672677385417,0.3259109311740891,354,0.11780366056572379,0.06613413791851402,0.0392156481986127
NDAQ,3771,0.5829939946010227,0.6300211416490487,117,0.031026252983293555,0.198217688683437,0.1991229709491231
NDSN,3771,0.49255734048099886,0.4652173913043478,354,0.09387430389817025,0.15130107064563023,0.1121452500579611
NEE,3771,0.5306284770539427,0.5590062111801242,54,0.014319809069212411,0.15295546717137234,0.1732168208462512
NEM,3771,0.3694791489171951,0.2597137014314928,428,0.11349774595597985,0.07462220910115246,-0.0008531512340711
NFLX,3771,0.6499695758716878,0.8936170212765957,1848,0.4900556881463803,0.4969027738108661,0.4535233620123851
NI,3771,0.5420798836738554,0.551063829787234,330,0.08750994431185362,0.16665044618804445,0.1867674406174013
NKE,3771,0.4751085822236531,0.481042654028436,231,0.061256961018297536,0.12327458641837356,0.1437737233229776
NOC,3771,0.5660882242612347,0.5883534136546185,373,0.09891275523733757,0.18585559147450906,0.1944899133502937
NOW,3143,0.6750085713638806,0.7916666666666666,931,0.2962138084632517,0.3212006188278512,0.3358050739547993
NRG,3771,0.48728700865007596,0.4325581395348837,886,0.23495094139485548,0.21241462848290638,0.1119566640158862
NSC,3771,0.4935908143675679,0.4899193548387097,78,0.020684168655529037,0.1410399951678375,0.156378131041009
NTAP,3771,0.43653073272760734,0.3581081081081081,573,0.15194908512330946,0.14161005186822873,0.0490780343496328
NTRS,3771,0.42589447084383575,0.4207317073170731,31,0.008220631132325643,0.0961101722680935,0.1143844794818924
NUE,3771,0.43164769940362796,0.3560767590618336,405,0.10739856801909307,0.14093559016526408,0.0752094426296936
NVDA,3771,0.6798138672421159,0.8350951374207188,1682,0.4460355343410236,0.6310371083648173,0.4317508043816114
NVR,3771,0.5375339736363278,0.5217391304347826,429,0.11376292760540971,0.18567345552938475,0.1760313492069336
NWS,2901,0.4031969615056911,0.3485477178423236,98,0.03378145467080317,0.09949509102676175,0.0487961839374821
NWSA,2901,0.38743316228165714,0.3373493975903614,108,0.03722854188210962,0.09273207397690111,0.0435347139248722
NXPI,3622,0.5612187160179665,0.6260564831993404,525,0.14494754279403643,0.21739083851158633,0.1970234180600263
O,3771,0.43940042832861015,0.4301075268817204,298,0.07902413153009812,0.09838202031161472,0.0881499760377497
ODFL,3771,0.6480009003323385,0.7482837528604119,710,0.18827897109520023,0.2666266770869389,0.3085558734410294
OKE,3771,0.5715435444965171,0.6424242424242425,658,0.17448952532484752,0.21778245274934782,0.2023698243317144
OMC,3771,0.42210281731205496,0.4344827586206896,22,0.005833996287456908,0.0891443306678001,0.0747001568910847
