episode_id,start,end,observations,max_vix,mean_vix,max_zscore,mean_percentile
67,2010-05-06,2010-06-09,16,45.79,35.924375,4.756964725672886,0.9816468253968254
68,2010-06-29,2010-06-30,2,34.54,34.335,2.13382852304335,0.9603174603174603
69,2011-08-04,2011-09-13,23,48.0,37.168695652173916,7.80757905160695,0.9794685990338161
70,2011-09-21,2011-10-04,10,45.45,40.58,3.2431359950431875,0.9714285714285713
71,2012-12-28,2012-12-28,1,22.72,22.72,1.8721662961086056,0.9523809523809524
72,2013-06-20,2013-06-24,2,20.49,20.299999999999997,2.405103222257111,0.990079365079365
73,2013-10-07,2013-10-15,4,20.34,19.5025,2.6783309425482487,0.9771825396825395
74,2014-01-24,2014-02-05,5,21.44,19.41,3.80362396127905,0.9761904761904763
75,2014-10-09,2014-10-20,8,26.25,22.43,5.704931535931978,0.9900793650793651
76,2014-12-10,2014-12-17,6,23.57,20.52,3.6719318298625896,0.9682539682539683
77,2015-01-05,2015-01-16,6,22.39,21.070000000000004,2.79416753964926,0.9649470899470901
78,2015-01-30,2015-01-30,1,20.97,20.97,2.168959229002588,0.9523809523809524
79,2015-08-21,2015-09-09,12,40.74,29.40166666666667,7.805704933053492,0.9831349206349206
80,2015-09-28,2015-09-29,2,27.63,27.229999999999997,2.5370633192602856,0.9702380952380953
81,2016-01-08,2016-01-21,4,27.59,27.0775,2.3343435065096005,0.9642857142857144
82,2016-02-11,2016-02-11,1,28.14,28.14,2.228646594386143,0.98015873015873
83,2018-01-30,2018-03-02,18,37.32,23.29611111111111,11.851343463475526,0.9775132275132274
84,2018-03-22,2018-04-02,6,24.87,23.038333333333338,3.0253592871446138,0.9669312169312171
85,2018-10-10,2018-10-11,2,24.98,23.97,2.488952696446406,0.9682539682539683
86,2018-10-24,2018-10-29,4,25.23,24.5775,2.4096346694682693,0.9632936507936508
87,2018-12-17,2018-12-28,9,36.07,28.772222222222222,4.023492733648185,0.9786155202821871
88,2020-02-24,2020-03-30,26,82.69,52.9376923076923,8.326319272589402,0.9894688644688645
89,2021-11-26,2021-12-03,5,31.12,29.110000000000003,3.194441850877505,0.9781746031746031
90,2022-01-21,2022-01-27,5,31.96,30.472,3.436898903911616,0.9833333333333332
91,2022-02-14,2022-03-14,15,36.45,31.320666666666668,3.9869944108293742,0.9793650793650794
92,2022-04-26,2022-05-12,9,34.75,32.68111111111111,2.777437488747996,0.9746472663139331
93,2022-06-13,2022-06-16,3,34.02,33.220000000000006,2.254326348556223,0.974867724867725
94,2022-09-27,2022-09-27,1,32.6,32.6,1.6977611341178382,0.9603174603174603
95,2022-10-10,2022-10-12,3,33.63,33.21666666666667,1.7875891388260294,0.9715608465608465
96,2024-04-15,2024-04-15,1,19.23,19.23,2.02156768394606,0.9563492063492064
97,2024-08-02,2024-08-12,7,38.57,26.055714285714288,8.92751770814846,0.9872448979591837
98,2024-09-03,2024-09-06,3,22.38,21.473333333333333,2.3844665301948176,0.9735449735449736
99,2024-10-07,2024-10-10,4,22.64,21.4625,2.422881203939225,0.9642857142857143
100,2024-10-31,2024-11-04,3,23.16,22.34,2.466615786557009,0.9722222222222223
101,2024-12-18,2024-12-19,2,27.62,25.855,3.644590608782029,0.9861111111111109
102,2025-03-03,2025-03-13,8,27.86,24.775,3.2533752384703045,0.9766865079365079
103,2025-04-03,2025-04-22,13,52.33,36.47923076923077,6.870580620609933,0.981074481074481
104,2026-03-27,2026-03-30,2,31.05,30.83,2.3285934036159657,0.9702380952380953
