month,valid_industries,formation_return_mean,formation_return_std,formation_return_spread_p90_p10,top_decile_count,bottom_decile_count
2003-11-30,49,0.1937770711304912,0.17656160570134266,0.3947977399508659,5,5
2003-12-31,49,0.21164816547911178,0.18848884841117772,0.37513090157607726,5,5
2004-01-31,49,0.2903157529247529,0.21396500398875876,0.4869545533929521,5,5
2004-02-29,49,0.410226393893935,0.2088293203962062,0.5710470478752766,5,5
2004-03-31,49,0.45209456520415064,0.18429882073454845,0.46370218139828595,5,5
2004-04-30,49,0.49071135283946654,0.22532175258906667,0.5338086596909865,5,5
2004-05-31,49,0.3808578644580157,0.2024688054653296,0.5900649649080147,5,5
2004-06-30,49,0.2546211140383403,0.1136902685638167,0.32711151232137226,5,5
2004-07-31,49,0.24807437794395296,0.11458513696388506,0.27709475567423586,5,5
2004-08-31,49,0.2541387190629054,0.15036763763855332,0.2578397520378803,5,5
2004-09-30,49,0.15576720839525104,0.1335376865468598,0.2541219432148992,5,5
2004-10-31,49,0.17763385383739547,0.13200681456717275,0.2636150387935965,5,5
2004-11-30,49,0.12585824553431263,0.14051431371096088,0.25917072245879846,5,5
2004-12-31,49,0.1107351656142234,0.13832426274156936,0.2635607764586665,5,5
2005-01-31,49,0.12172275205813629,0.13061588419010706,0.24279805954388206,5,5
2005-02-28,49,0.15048321890179292,0.14619370251542307,0.27146529537827974,5,5
2005-03-31,49,0.10467785699349945,0.14409389620802657,0.2780563347761516,5,5
2005-04-30,49,0.1439706246853646,0.17474422188799787,0.3872197770692929,5,5
2005-05-31,49,0.14350942113610635,0.16883965598297895,0.41294530347458314,5,5
2005-06-30,49,0.08764554718956538,0.159865070865947,0.4019828637110925,5,5
2005-07-31,49,0.0943755782581448,0.1548211853031882,0.3657109524366476,5,5
2005-08-31,49,0.15425762128128068,0.16189924324968283,0.359951362376806,5,5
2005-09-30,49,0.20859774644054882,0.19085302589860856,0.3514793431689944,5,5
2005-10-31,49,0.16970008889339244,0.18484535990269435,0.34315456913176934,5,5
2005-11-30,49,0.16601501346053354,0.216787877792032,0.4133270602476271,5,5
