year,ism_state,observations,unique_industries,mean_ism_score,mean_formation_return_12_1,median_formation_return_12_1
2000,TOP_DECILE,60,13,0.9583333333333334,0.6776393824724228,0.6160707974580099
2001,BOTTOM_DECILE,60,10,0.04166666666666665,-0.44418441677513354,-0.4243270421026189
2001,MIDDLE,468,47,0.49999999999999994,0.03929997185362604,0.02998454363774565
2001,TOP_DECILE,60,11,0.9583333333333333,0.6826335151301008,0.562270642019013
2002,BOTTOM_DECILE,60,13,0.041666666666666644,-0.33075708165738255,-0.3311637674337895
2002,MIDDLE,468,47,0.5,-0.004731789202839993,-0.00592655979328875
2002,TOP_DECILE,60,12,0.9583333333333334,0.3781659536278231,0.35975163017160783
2003,BOTTOM_DECILE,60,18,0.04166666666666664,-0.27542431970468717,-0.31827294283839047
2003,MIDDLE,468,49,0.5,-0.018502840814591838,-0.048719685731333756
2003,TOP_DECILE,60,21,0.9583333333333334,0.23611889789066293,0.18687266217439685
2004,BOTTOM_DECILE,60,21,0.041666666666666644,0.04556738936527024,0.03751984750353185
2004,MIDDLE,468,49,0.5,0.266635322825706,0.25036920132014095
2004,TOP_DECILE,60,17,0.9583333333333334,0.611355360487363,0.5879026894857659
2005,BOTTOM_DECILE,60,14,0.04166666666666664,-0.08059500474905336,-0.08104066766767914
2005,MIDDLE,468,48,0.5,0.11463304205295162,0.1051715749943789
2005,TOP_DECILE,60,9,0.9583333333333334,0.4963233164426759,0.4469365309687461
2006,BOTTOM_DECILE,60,18,0.041666666666666644,-0.08341388242184802,-0.0795461983088423
2006,MIDDLE,468,48,0.5,0.10346256436569168,0.09296598582167255
2006,TOP_DECILE,60,13,0.9583333333333333,0.422821168989752,0.38129885556298504
2007,BOTTOM_DECILE,60,15,0.041666666666666644,-0.06828957335454143,-0.0601064684481388
2007,MIDDLE,468,48,0.5,0.1644954124250361,0.15721096263018824
2007,TOP_DECILE,60,16,0.9583333333333334,0.44781269188911027,0.38828823051112993
2008,BOTTOM_DECILE,60,11,0.041666666666666644,-0.3447655822601351,-0.35034714743348716
2008,MIDDLE,468,48,0.5,-0.06996058551648517,-0.05246324414301555
2008,TOP_DECILE,60,17,0.9583333333333334,0.3754848648996569,0.26225508118556706
