asset_id,symbol,exchange,status,tradable,security_type_assessment,security_type_reason
eb6e8445-2218-4b80-9342-c857cf7e713d,WHK,NYSE,active,True,COMMON_STOCK_COMPATIBLE,metadata compatible with common-stock filter
763b50ab-ccf0-4dd7-9f43-d73be578e4bc,WHLRD,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains PREFERRED
c4c6495e-e558-4346-a30e-8d4b358e2dfb,WHLR,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains TRUST
84db37a2-d331-4a66-bf04-322f6c85c7ea,WIA,NYSE,active,True,EXCLUDED_NON_COMMON,name contains FUND
3d39e463-d345-4846-a187-386ce5419c0c,WIMA,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains FUND
50422de4-11cd-4f0b-90c6-6408a62f9e28,PCLN,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
a34b6d40-2fdb-43ed-8c77-b6b0baedeb91,WHLRL,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains NOTE
4ae3790f-3ca4-47f6-8471-2bdaccdffa01,WINN,NYSE,active,True,EXCLUDED_NON_COMMON,name contains ETF
33477285-ea18-4f8a-abbd-49250c6b43f6,WHLRP,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains PREFERRED
0faa818f-7266-4874-9ff0-c9bc7bd5a070,WISE,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains ETF
6504b97c-ce65-418d-a704-dddc8ba1d0df,WIT,NYSE,active,True,COMMON_STOCK_COMPATIBLE,metadata compatible with common-stock filter
d970858b-42ad-4e4a-871d-e40c838f6af8,WLDR,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
f7798e2f-c9f7-45eb-ae03-719ba1d0ef79,WLDU,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
01fc96e4-07cc-4d1b-983f-1ea3900732c0,WKEY,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains DEPOSITARY
c7a7cf32-a86c-4098-b444-60d8927a3ae3,WNW,NASDAQ,active,True,COMMON_STOCK_COMPATIBLE,metadata compatible with common-stock filter
5c16729f-d046-40ea-b84a-cb0f84864343,WLTG,NYSE,active,True,EXCLUDED_NON_COMMON,name contains ETF
b6aecd50-8d97-4e43-9c2f-e92740ad81f1,WMSB,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
a875b195-b814-4b0c-99ea-539436a10c33,WMTI,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
2b968668-c474-4040-8674-5bc4b9fb4be3,WNDR,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
