symbol,latest_bar_session,freshness_state,eligibility_state,return_12_1,csm_rank,csm_candidate,tsm001_state,tsm_approved,target_weight
ALNY,2026-08-25,FRESH,ELIGIBLE,-0.3884727743976101,0.11693548387096774,False,NEGATIVE,False,0.0
ALRM,2026-08-25,FRESH,ELIGIBLE,-0.09255346124587949,0.2903225806451613,False,NEGATIVE,False,0.0
ALSN,2026-08-25,FRESH,ELIGIBLE,0.37664101403349926,0.7056451612903226,False,POSITIVE,True,0.0
ALT,2026-08-25,FRESH,ELIGIBLE,-0.16288951841359767,0.23387096774193547,False,NEGATIVE,False,0.0
ALV,2026-08-25,FRESH,ELIGIBLE,-0.007187630589218563,0.3709677419354839,False,NEGATIVE,False,0.0
ALXO,2026-08-25,FRESH,ELIGIBLE,0.7222222222222225,0.8629032258064516,False,POSITIVE,True,0.0
AM,2026-08-25,FRESH,ELIGIBLE,0.2839433293978748,0.6370967741935484,False,POSITIVE,True,0.0
AMAT,2026-08-25,FRESH,ELIGIBLE,2.195605075827917,0.9758064516129032,True,POSITIVE,True,0.04
AMBA,2026-08-25,FRESH,ELIGIBLE,-0.05129274395329442,0.3185483870967742,False,NEGATIVE,False,0.0
AMBP,2026-08-25,FRESH,ELIGIBLE,0.3787185354691076,0.7137096774193549,False,POSITIVE,True,0.0
AMC,2026-08-25,FRESH,ELIGIBLE,-0.1508474576271187,0.24596774193548387,False,NEGATIVE,False,0.0
AMCR,2026-08-25,FRESH,ELIGIBLE,0.1014369215781783,0.4637096774193548,False,POSITIVE,True,0.0
AMCX,2026-08-25,FRESH,ELIGIBLE,0.4287729196050778,0.7459677419354839,False,POSITIVE,True,0.0
AMD,2026-08-25,FRESH,ELIGIBLE,1.949871848363831,0.967741935483871,True,POSITIVE,True,0.04
AME,2026-08-25,FRESH,ELIGIBLE,0.3085948011409505,0.6653225806451613,False,POSITIVE,True,0.0
AMGN,2026-08-25,FRESH,ELIGIBLE,0.30851622387902977,0.6612903225806451,False,POSITIVE,True,0.0
AMH,2026-08-25,FRESH,ELIGIBLE,-0.02590221187427244,0.3387096774193548,False,NEGATIVE,False,0.0
AMKR,2026-08-25,FRESH,ELIGIBLE,1.5435510887772197,0.9556451612903226,True,POSITIVE,True,0.04
AMN,2026-08-25,FRESH,ELIGIBLE,0.6155330438977329,0.8266129032258065,False,POSITIVE,True,0.0
AMP,2026-08-25,FRESH,ELIGIBLE,0.051419830561656665,0.4314516129032258,False,POSITIVE,True,0.0
AMPH,2026-08-25,FRESH,ELIGIBLE,-0.37155963302752293,0.13306451612903225,False,NEGATIVE,False,0.0
AMRC,2026-08-25,FRESH,ELIGIBLE,-0.13516844700082165,0.27419354838709675,False,NEGATIVE,False,0.0
AMRX,2026-08-25,FRESH,ELIGIBLE,0.8893528183716077,0.9032258064516129,True,POSITIVE,True,0.04
AMSC,2026-08-25,FRESH,ELIGIBLE,-0.3970007892659827,0.0967741935483871,False,NEGATIVE,False,0.0
AMSF,2026-08-25,FRESH,ELIGIBLE,-0.3121995880064088,0.15725806451612903,False,NEGATIVE,False,0.0
AMT,2026-08-25,FRESH,ELIGIBLE,-0.1822952427660619,0.1975806451612903,False,NEGATIVE,False,0.0
AMTX,2026-08-25,FRESH,ELIGIBLE,-0.38537549407114624,0.125,False,NEGATIVE,False,0.0
AMZN,2026-08-25,FRESH,ELIGIBLE,0.01123006336027954,0.39919354838709675,False,POSITIVE,True,0.0
AN,2026-08-25,FRESH,ELIGIBLE,-0.028995433789954284,0.33064516129032256,False,NEGATIVE,False,0.0
ANAB,2026-08-25,FRESH,ELIGIBLE,2.9814264487369986,0.9879032258064516,True,POSITIVE,True,0.04
ANDE,2026-08-25,FRESH,ELIGIBLE,0.8461538461538463,0.8951612903225806,False,POSITIVE,True,0.0
ANET,2026-08-25,FRESH,ELIGIBLE,0.28139307963671856,0.6290322580645161,False,POSITIVE,True,0.0
ANF,2026-08-25,FRESH,ELIGIBLE,0.009958337567320452,0.3951612903225806,False,POSITIVE,True,0.0
ANGI,2026-08-25,FRESH,ELIGIBLE,-0.674807903402854,0.028225806451612902,False,NEGATIVE,False,0.0
ANGO,2026-08-25,FRESH,ELIGIBLE,0.44033790918690596,0.7580645161290323,False,POSITIVE,True,0.0
ANIK,2026-08-25,FRESH,ELIGIBLE,0.5569358178053829,0.8104838709677419,False,POSITIVE,True,0.0
ANIP,2026-08-25,FRESH,ELIGIBLE,-0.1383651256115661,0.2661290322580645,False,NEGATIVE,False,0.0
ANNX,2026-08-25,FRESH,ELIGIBLE,1.2255965292841648,0.9395161290322581,True,POSITIVE,True,0.04
AON,2026-08-25,FRESH,ELIGIBLE,-0.015976585575425584,0.35080645161290325,False,NEGATIVE,False,0.0
AOS,2026-08-25,FRESH,ELIGIBLE,-0.13777777777777778,0.2701612903225806,False,NEGATIVE,False,0.0
AOSL,2026-08-25,FRESH,ELIGIBLE,0.07011454356126334,0.4475806451612903,False,POSITIVE,True,0.0
APA,2026-08-25,FRESH,ELIGIBLE,0.6585482330468002,0.8387096774193549,False,POSITIVE,True,0.0
APAM,2026-08-25,FRESH,ELIGIBLE,-0.06728045325779042,0.3024193548387097,False,NEGATIVE,False,0.0
APOG,2026-08-25,FRESH,ELIGIBLE,-0.0635824977210574,0.31451612903225806,False,NEGATIVE,False,0.0
APPF,2026-08-25,FRESH,ELIGIBLE,-0.3875281225052616,0.12096774193548387,False,NEGATIVE,False,0.0
APPN,2026-08-25,FRESH,ELIGIBLE,-0.1429050654142905,0.25806451612903225,False,NEGATIVE,False,0.0
APPS,2026-08-25,FRESH,ELIGIBLE,1.025943396226415,0.9274193548387096,True,POSITIVE,True,0.04
ARAY,2026-08-25,FRESH,ELIGIBLE,-0.8580564263322884,0.0,False,NEGATIVE,False,0.0
ARCB,2026-08-25,FRESH,ELIGIBLE,0.94249117762384,0.9112903225806451,True,POSITIVE,True,0.04
ARCC,2026-08-25,FRESH,ELIGIBLE,-0.06666666666666676,0.3064516129032258,False,NEGATIVE,False,0.0
ARCT,2026-08-25,FRESH,ELIGIBLE,-0.6889848812095032,0.020161290322580645,False,NEGATIVE,False,0.0
ARDX,2026-08-25,FRESH,ELIGIBLE,-0.1711711711711713,0.21774193548387097,False,NEGATIVE,False,0.0
ARKO,2026-08-25,FRESH,ELIGIBLE,0.5677330173775672,0.8145161290322581,False,POSITIVE,True,0.0
ARQT,2026-08-25,FRESH,ELIGIBLE,0.7411691153485467,0.875,False,POSITIVE,True,0.0
ARRY,2026-08-25,FRESH,ELIGIBLE,-0.39072847682119216,0.10887096774193548,False,NEGATIVE,False,0.0
ARVN,2026-08-25,FRESH,ELIGIBLE,0.1266255989048597,0.4959677419354839,False,POSITIVE,True,0.0
ARWR,2026-08-25,FRESH,ELIGIBLE,3.0110199296600237,0.9919354838709677,True,POSITIVE,True,0.04
ASML,2026-08-25,FRESH,ELIGIBLE,1.202789656688382,0.9354838709677419,True,POSITIVE,True,0.04
ASND,2026-08-25,FRESH,ELIGIBLE,0.3017163737423123,0.657258064516129,False,POSITIVE,True,0.0
ASO,2026-08-25,FRESH,ELIGIBLE,-0.06574264843603672,0.31048387096774194,False,NEGATIVE,False,0.0
ASTE,2026-08-25,FRESH,ELIGIBLE,0.23344334433443348,0.5967741935483871,False,POSITIVE,True,0.0
ASTH,2026-08-25,FRESH,ELIGIBLE,0.24152542372881358,0.6129032258064516,False,POSITIVE,True,0.0
ATEC,2026-08-25,FRESH,ELIGIBLE,-0.462658816237992,0.07661290322580645,False,NEGATIVE,False,0.0
ATEX,2026-08-25,FRESH,ELIGIBLE,3.171046770601336,0.9959677419354839,True,POSITIVE,True,0.04
ATOM,2026-08-25,FRESH,ELIGIBLE,0.5701492537313433,0.8185483870967742,False,POSITIVE,True,0.0
ATRC,2026-08-25,FRESH,ELIGIBLE,-0.008229360233607652,0.36693548387096775,False,NEGATIVE,False,0.0
ATRO,2026-08-25,FRESH,ELIGIBLE,1.327746432127448,0.9435483870967742,True,POSITIVE,True,0.04
AUB,2026-08-25,FRESH,ELIGIBLE,0.23369725582767775,0.6008064516129032,False,POSITIVE,True,0.0
AUPH,2026-08-25,FRESH,ELIGIBLE,0.24042379788101065,0.6088709677419355,False,POSITIVE,True,0.0
AVAV,2026-08-25,FRESH,ELIGIBLE,-0.3558487100275527,0.14112903225806453,False,NEGATIVE,False,0.0
AVGO,2026-08-25,FRESH,ELIGIBLE,0.31351721774884367,0.6693548387096774,False,POSITIVE,True,0.0
AVIR,2026-08-25,FRESH,ELIGIBLE,0.3178082191780822,0.6774193548387096,False,POSITIVE,True,0.0
AVO,2026-08-25,FRESH,ELIGIBLE,-0.007031249999999933,0.375,False,NEGATIVE,False,0.0
AVPT,2026-08-25,FRESH,ELIGIBLE,-0.17989756722151085,0.20161290322580644,False,NEGATIVE,False,0.0
AVT,2026-08-25,FRESH,ELIGIBLE,0.6265636497424578,0.8306451612903226,False,POSITIVE,True,0.0
AVXL,2026-08-25,FRESH,ELIGIBLE,-0.7371458551941238,0.012096774193548387,False,NEGATIVE,False,0.0
AXGN,2026-08-25,FRESH,ELIGIBLE,1.5276752767527673,0.9516129032258065,True,POSITIVE,True,0.04
AXON,2026-08-25,FRESH,ELIGIBLE,-0.3139002618501904,0.1532258064516129,False,NEGATIVE,False,0.0
AXSM,2026-08-25,FRESH,ELIGIBLE,1.0104965854481072,0.9193548387096774,True,POSITIVE,True,0.04
AXTI,2026-08-25,FRESH,ELIGIBLE,16.048042704626333,1.0,True,POSITIVE,True,0.04
AZTA,2026-08-25,FRESH,ELIGIBLE,-0.1263074484944532,0.2782258064516129,False,NEGATIVE,False,0.0
BAND,2026-08-25,FRESH,ELIGIBLE,2.8740264138164577,0.9798387096774194,True,POSITIVE,True,0.04
BANR,2026-08-25,FRESH,ELIGIBLE,0.06750344405326802,0.4435483870967742,False,POSITIVE,True,0.0
BATRK,2026-08-25,FRESH,ELIGIBLE,0.12705464238116382,0.5,False,POSITIVE,True,0.0
BBBY,2026-08-25,FRESH,INSUFFICIENT_HISTORY,,,False,,False,0.0
BBIO,2026-08-25,FRESH,ELIGIBLE,0.7142711518858307,0.8588709677419355,False,POSITIVE,True,0.0
BCPC,2026-08-25,FRESH,ELIGIBLE,0.0030430284218854187,0.3870967741935484,False,POSITIVE,True,0.0
BCRX,2026-08-25,FRESH,ELIGIBLE,0.11967308814944544,0.4838709677419355,False,POSITIVE,True,0.0
BEAM,2026-08-25,FRESH,ELIGIBLE,0.5072158749248348,0.8064516129032258,False,POSITIVE,True,0.0
BELFB,2026-08-25,FRESH,ELIGIBLE,1.0516182824224969,0.9314516129032258,True,POSITIVE,True,0.04
BFH,2026-08-25,FRESH,ELIGIBLE,0.7116693679092381,0.8548387096774194,False,POSITIVE,True,0.0
BGC,2026-08-25,FRESH,ELIGIBLE,0.1678252234359483,0.5443548387096774,False,POSITIVE,True,0.0
BHF,2026-08-25,FRESH,ELIGIBLE,0.3428935627788401,0.6814516129032258,False,POSITIVE,True,0.0
BIIB,2026-08-25,FRESH,ELIGIBLE,0.43656662837449756,0.7540322580645161,False,POSITIVE,True,0.0
BJRI,2026-08-25,FRESH,ELIGIBLE,0.9647746719908727,0.9153225806451613,True,POSITIVE,True,0.04
BKNG,2026-08-25,FRESH,ELIGIBLE,-0.17729715443573257,0.2056451612903226,False,NEGATIVE,False,0.0
BKR,2026-08-25,FRESH,ELIGIBLE,0.36963921034717484,0.6975806451612904,False,POSITIVE,True,0.0
BL,2026-08-25,FRESH,ELIGIBLE,-0.43228973693960726,0.0846774193548387,False,NEGATIVE,False,0.0
BLBD,2026-08-25,FRESH,ELIGIBLE,0.3772867234196704,0.7096774193548387,False,POSITIVE,True,0.0
BLDP,2026-08-25,FRESH,ELIGIBLE,0.42431761786600486,0.7419354838709677,False,POSITIVE,True,0.0
BLDR,2026-08-25,FRESH,ELIGIBLE,-0.49681704954331585,0.056451612903225805,False,NEGATIVE,False,0.0
BLFS,2026-08-25,FRESH,ELIGIBLE,0.1494119915172547,0.532258064516129,False,POSITIVE,True,0.0
BLKB,2026-08-25,FRESH,ELIGIBLE,-0.4806073361395069,0.06854838709677419,False,NEGATIVE,False,0.0
BLMN,2026-08-25,FRESH,ELIGIBLE,0.15875169606512873,0.5403225806451613,False,POSITIVE,True,0.0
BLNK,2026-08-25,FRESH,ELIGIBLE,-0.42951360263808747,0.08870967741935484,False,NEGATIVE,False,0.0
BMRN,2026-08-25,FRESH,ELIGIBLE,0.028251963127347235,0.4112903225806452,False,POSITIVE,True,0.0
BOC,2026-08-25,FRESH,ELIGIBLE,0.10743165190604564,0.47580645161290325,False,POSITIVE,True,0.0
BOKF,2026-08-25,FRESH,ELIGIBLE,0.29876246767639447,0.6491935483870968,False,POSITIVE,True,0.0
BOOM,2026-08-25,FRESH,ELIGIBLE,-0.1772793053545587,0.20967741935483872,False,NEGATIVE,False,0.0
BPOP,2026-08-25,FRESH,ELIGIBLE,0.43348106028932176,0.75,False,POSITIVE,True,0.0
BRKR,2026-08-25,FRESH,ELIGIBLE,0.6984441301272983,0.8467741935483871,False,POSITIVE,True,0.0
BSY,2026-08-25,FRESH,ELIGIBLE,-0.3791896869244935,0.12903225806451613,False,NEGATIVE,False,0.0
BTBT,2026-08-25,FRESH,ELIGIBLE,-0.5277777777777777,0.04838709677419355,False,NEGATIVE,False,0.0
BTG,2026-08-25,FRESH,ELIGIBLE,-0.014048531289910682,0.3548387096774194,False,NEGATIVE,False,0.0
BUSE,2026-08-25,FRESH,ELIGIBLE,0.280792420327304,0.625,False,POSITIVE,True,0.0
BWIN,2026-08-25,FRESH,ELIGIBLE,-0.18343018924154375,0.1935483870967742,False,NEGATIVE,False,0.0
BYND,2026-08-25,FRESH,ELIGIBLE,-0.7746938775510204,0.004032258064516129,False,NEGATIVE,False,0.0
CAKE,2026-08-25,FRESH,ELIGIBLE,0.40827922077922074,0.7298387096774194,False,POSITIVE,True,0.0
CALM,2026-08-25,FRESH,ELIGIBLE,-0.21322226160935842,0.1774193548387097,False,NEGATIVE,False,0.0
CALY,2026-08-25,FRESH,ELIGIBLE,0.8694984646878201,0.8991935483870968,False,POSITIVE,True,0.0
CAMT,2026-08-25,FRESH,ELIGIBLE,0.8357575757575757,0.8911290322580645,False,POSITIVE,True,0.0
CAR,2026-08-25,FRESH,ELIGIBLE,0.052837950761714936,0.43548387096774194,False,POSITIVE,True,0.0
CARG,2026-08-25,FRESH,ELIGIBLE,0.022079251352536966,0.40725806451612906,False,POSITIVE,True,0.0
CASH,2026-08-25,FRESH,ELIGIBLE,0.09666539391625317,0.45564516129032256,False,POSITIVE,True,0.0
CASY,2026-08-25,FRESH,ELIGIBLE,0.7014008061619508,0.8508064516129032,False,POSITIVE,True,0.0
CATY,2026-08-25,FRESH,ELIGIBLE,0.28273870901216736,0.6330645161290323,False,POSITIVE,True,0.0
