,CSM-001
2023-10-02,-0.006149720770517023
2023-10-03,-0.03302540743344568
2023-10-04,0.0038479172726309766
2023-10-05,-0.004968053400243342
2023-10-06,0.01692211547441316
2023-10-09,-0.011813899679566227
2023-10-10,0.025952041532618875
2023-10-11,-0.003380193240290921
2023-10-12,-0.03260673723349894
2023-10-13,-0.012301902516033714
2023-10-16,0.011836268661020905
2023-10-17,0.009051542810697538
2023-10-18,-0.017827570272447517
2023-10-19,-0.02166959735387562
2023-10-20,-0.01617450943763111
2023-10-23,0.0010637200296761233
2023-10-24,0.033615053433149564
2023-10-25,-0.03895610805321047
2023-10-26,0.005516081036739279
2023-10-27,-0.007937923432419875
2023-10-30,0.006887275952353043
2023-10-31,0.016377628775867514
2023-11-01,0.007278171080528483
2023-11-02,0.044847829977211935
2023-11-03,0.03792691481970677
2023-11-06,-0.005464700587028366
2023-11-07,0.01624412686217609
2023-11-08,-0.00752722602703419
2023-11-09,-0.02547535316466441
2023-11-10,0.010318628921521737
2023-11-13,0.013130233300022623
2023-11-14,0.053402594636564986
2023-11-15,-0.02584385653786253
2023-11-16,-0.008918808509910217
2023-11-17,0.011112778894440165
2023-11-20,0.014903305707197619
2023-11-21,-0.01646910952297794
2023-11-22,0.005534212040982784
2023-11-24,0.008480464665409571
2023-11-27,0.0022211418830197756
2023-11-28,-0.007057335111440116
2023-11-29,0.010849828781985892
2023-11-30,-0.009651555118723102
2023-12-01,0.041782362829571436
2023-12-04,0.011556135556369682
2023-12-05,-0.0014031754493333622
2023-12-06,-0.0030317030013215576
2023-12-07,0.004214770923103668
2023-12-08,0.016945693336431453
2023-12-11,0.004504848878248036
2023-12-12,0.01151422142999435
2023-12-13,0.047754908078702404
2023-12-14,0.017398158446925018
2023-12-15,-0.005162053248787813
2023-12-18,0.007267318587600587
2023-12-19,0.02300538000955893
2023-12-20,-0.03695866243394093
2023-12-21,0.02371575555634437
2023-12-22,0.016891293942311238
2023-12-26,0.022537993422877056
2023-12-27,0.009847832986860806
2023-12-28,-0.007934069928466757
2023-12-29,-0.02719868321732329
2024-01-02,-0.011827342335271274
2024-01-03,-0.023654843380277416
2024-01-04,0.006442434725806363
2024-01-05,-0.0012756208890108132
2024-01-08,0.036064933320301105
2024-01-09,0.005264276972126715
2024-01-10,0.0026082423637581714
2024-01-11,-0.01971857852155413
2024-01-12,-0.007232954400005726
2024-01-16,-0.011661569842461136
2024-01-17,-0.006277310829914881
2024-01-18,0.0010245558393703392
2024-01-19,0.014797533386776349
2024-01-22,0.022762531735189877
2024-01-23,-0.004830371968176412
2024-01-24,-0.012698734890920068
2024-01-25,0.01985451677306801
2024-01-26,0.012308334967249222
2024-01-29,0.03277135886131944
2024-01-30,-0.020852585088574817
2024-01-31,-0.03351297492579052
2024-02-01,0.010806067705578157
2024-02-02,0.001222549975955509
2024-02-05,-0.012471018572767974
2024-02-06,0.003743002775052684
2024-02-07,-0.004991420763412581
2024-02-08,0.019653425783996425
2024-02-09,0.03005331407111356
2024-02-12,0.021956375247361437
2024-02-13,-0.04496659193512331
2024-02-14,0.0368934454110388
2024-02-15,0.011771442991703199
2024-02-16,-0.013706462798199284
2024-02-20,-0.03732836199485976
2024-02-21,-0.011222284474884752
2024-02-22,0.005099166218903149
2024-02-23,-0.014894901150901077
2024-02-26,0.036457694048428364
2024-02-27,0.01026210936864016
2024-02-28,-0.005267198792868563
2024-02-29,0.014927937627262765
2024-03-01,0.010317362389433735
2024-03-04,-0.015027351745404186
2024-03-05,-0.02175493221724908
2024-03-06,-0.0010476484721930746
2024-03-07,0.01286088922597091
2024-03-08,-0.012615654375632031
2024-03-11,-0.02154643935017675
2024-03-12,0.0030647118520071414
2024-03-13,-0.003166210940902428
2024-03-14,-0.026228004537207503
2024-03-15,0.015235568600713395
2024-03-18,0.01632948518616629
2024-03-19,0.008083950613686155
2024-03-20,0.029803886357810425
2024-03-21,0.014640695382636704
2024-03-22,0.02262004728271015
2024-03-25,-0.013971683839032096
2024-03-26,-0.00521955579718477
2024-03-27,0.023252162035926643
2024-03-28,-0.0052238754568421
2024-04-01,-0.004218125098864425
2024-04-02,-0.021673479634346408
2024-04-03,0.02682021069560507
2024-04-04,-0.018661645629618324
2024-04-05,0.011947872170829398
2024-04-08,-0.004198972592388426
2024-04-09,-0.012045784912743827
2024-04-10,-0.02045875155763364
2024-04-11,0.020147528464136207
2024-04-12,-0.03625199130440309
2024-04-15,-0.02731650951999106
2024-04-16,0.008966801883828316
2024-04-17,-0.009126453380036953
2024-04-18,-0.005362772395770841
2024-04-19,-0.008461844107751469
2024-04-22,0.012882521533017367
2024-04-23,0.032769163775558066
2024-04-24,-0.008118623102869545
2024-04-25,-0.007511388413554419
2024-04-26,0.01668613120751123
2024-04-29,-0.008225945714504062
2024-04-30,-0.003210604999431291
2024-05-01,-0.007129660103370414
2024-05-02,0.01280918173679393
2024-05-03,0.01965697503136535
2024-05-06,0.010011056686165993
2024-05-07,-0.010678749989498115
2024-05-08,-0.01584841346887133
2024-05-09,0.02460583154094835
2024-05-10,-0.00925289589417499
2024-05-13,0.0015122620063446272
2024-05-14,0.017986636134711038
2024-05-15,0.02195158915493399
2024-05-16,-0.0032743241227605894
2024-05-17,-0.009108465040092032
2024-05-20,0.007708774263016292
2024-05-21,-0.01210158525779494
2024-05-22,0.0011839412223915158
2024-05-23,-0.02228085357406573
2024-05-24,0.012081172242387198
2024-05-28,-0.007570372666271589
2024-05-29,-0.011430195171640182
2024-05-30,0.0037769419543874434
2024-05-31,-0.00585509498017809
2024-06-03,-0.017340626003455154
2024-06-04,-0.016154132543559973
2024-06-05,0.028104042967316622
2024-06-06,-0.01808745807360835
2024-06-07,-0.01200519107522576
2024-06-10,0.010675716582756536
2024-06-11,-0.003685079769964768
2024-06-12,0.022789763866276257
2024-06-13,-0.005464038068665086
2024-06-14,-0.025175980486775343
2024-06-17,-0.012355891929918256
2024-06-18,-0.012253078459120416
2024-06-20,-0.017197673470519124
2024-06-21,0.0064175840150845435
2024-06-24,0.001783787948400885
2024-06-25,-0.0015373930124688608
2024-06-26,-0.010409399024876635
2024-06-27,0.0141787864923076
2024-06-28,0.020989329908997788
2024-07-01,0.002574164462195973
